appid,name,price,positive_ratings,negative_ratings,owners,average_playtime,is_multiplayer,description_length,tag_count,addictive_tag_count,addiction_level
206480,Dungeons & Dragons Online®,0.0,1718,696,,557,0,119,20,9,High
206500,AirMech Strike,0.0,7640,1440,,441,0,254,20,8,High
206610,3SwitcheD,6.99,117,196,,260,0,256,5,0,Medium
206690,iBomber Defense Pacific,2.99,421,84,,82,0,101,6,1,Low
207080,Indie Game: The Movie,6.99,1536,126,,218,0,155,7,0,Medium
207140,SpeedRunners,10.99,20854,1455,,421,1,243,20,4,High
207170,Legend of Grimrock,10.99,4420,268,,314,0,98,20,2,High
207230,ArcheBlade™,0.0,5642,2086,,640,0,228,20,7,High
207250,Cubemen,2.79,347,134,,70,1,135,6,2,Low
207320,Ys: The Oath in Felghana,9.99,936,57,,635,0,91,15,2,High
207350,Ys Origin,12.99,1811,91,,826,0,129,17,2,High
207370,eXceed - Gun Bullet Children,1.99,204,215,,97,0,303,10,2,Low
207380,eXceed 2nd - Vampire REX,4.79,193,29,,147,0,274,10,1,Medium
207400,eXceed 3rd - Jade Penetrate Black Package,4.79,489,41,,127,0,247,13,2,Low
207420,Wizorb,1.99,538,224,,504,0,108,12,1,High
207430,"Hack, Slash, Loot",4.99,337,332,,133,0,129,16,2,Medium
207490,Rayman® Origins,8.59,1509,114,,266,0,118,20,3,Medium
207530,Noitu Love 2: Devolution,3.99,469,28,,219,0,137,14,1,Medium
207570,English Country Tune,3.99,278,61,,3,0,128,7,0,Low
207650,A Virus Named TOM,6.99,379,305,,92,0,106,11,3,Low
207690,Botanicula,7.99,3524,136,,16,0,84,18,0,Low
207750,Symphony,6.19,1159,209,,321,0,163,12,2,High
207930,Sacred Citadel,7.99,645,287,,220,0,314,18,5,Medium
208140,Endless Space® - Collection,0.0,5708,1417,,1102,1,203,20,3,High
208200,Doom 3: BFG Edition,14.99,3957,772,,644,0,155,20,5,High
208460,Tryst,11.99,10,36,,30,0,121,4,2,Low
208500,F1 2012™,14.99,1447,176,,1623,0,147,8,1,High
208520,Omerta - City of Gangsters,10.99,1029,632,,209,0,241,14,4,Medium
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,7.19,8047,978,,990,0,182,20,2,High
208600,Lunar Flight,10.99,465,95,,411,1,154,10,1,High
208650,Batman™: Arkham Knight,15.99,33121,12981,,1266,0,245,20,4,High
208670,Blades of Time,6.99,1363,333,,105,0,259,15,3,Low
208730,Game of Thrones,10.99,1407,587,,1042,0,174,15,3,High
208750,Apotheon,10.99,2239,240,,716,0,182,17,3,High
209000,Batman™: Arkham Origins,0.0,20365,3519,,538,0,230,20,4,High
209060,Drunken Robot Pornography,10.99,524,99,,167,0,186,16,4,Medium
209080,Guns of Icarus Online,3.99,12932,1276,,275,0,261,20,9,Medium
209100,Resident Evil: Operation Raccoon City,22.99,1171,1079,,237,0,66,12,4,Medium
209120,Street Fighter X Tekken,22.99,858,697,,136,0,75,14,3,Medium
209160,Call of Duty®: Ghosts,39.99,14892,10757,,266,0,338,20,6,Medium
209190,Stealth Bastard Deluxe,6.99,783,93,,373,0,175,14,1,High
209330,A Valley Without Wind,0.0,272,186,,84,1,67,20,4,Low
209370,Analogue: A Hate Story,7.19,1881,128,,167,0,162,18,0,Medium
209390,Dungeonbowl - Knockout Edition,9.99,15,52,,487,0,151,4,1,High
209520,Mini Motor Racing EVO,3.99,411,224,,121,1,41,5,0,Low
209540,Strike Suit Zero,14.99,1211,339,,57,0,117,16,2,Low
209650,Call of Duty®: Advanced Warfare - Gold Edition,39.99,13389,8379,,250,0,183,20,7,Medium
209670,Cortex Command,14.99,3119,1454,,199,0,181,20,4,Medium
209690,Fieldrunners,3.99,124,79,,130,0,245,5,1,Low
209730,R.A.W. Realms of Ancient War,11.99,288,312,,24,0,245,8,3,Low
209790,Splice,6.99,470,61,,21,0,246,8,0,Low
209830,Lone Survivor: The Director's Cut,11.39,1019,153,,93,0,148,20,3,Low
209950,Triple Town,6.99,559,50,,170,0,291,8,1,Medium
210170,Spirits,2.89,152,61,,135,0,173,12,2,Medium
210770,Sanctum 2,11.39,11629,1273,,293,0,245,20,9,High
210870,Cloudberry Kingdom™,8.59,174,17,,33,0,335,9,1,Low
210950,Rune Classic,6.99,541,50,,316,0,119,10,2,High
210970,The Witness,29.99,6572,1282,,630,0,93,20,2,High
211010,Alien Shooter 2 Conscription,7.19,200,46,,47,0,134,7,3,Low
211160,Viking: Battle for Asgard,9.99,856,1013,,43,0,77,13,4,Low
211180,Unmechanical,6.99,371,28,,58,0,153,7,0,Low
211260,They Bleed Pixels,6.99,1965,327,,300,0,108,18,1,High
211360,Offspring Fling!,4.99,449,90,,134,0,94,14,1,Medium
211400,Deadlight,9.99,8981,2298,,307,0,81,20,2,High
211440,Adventures of Shuggy,3.99,955,149,,69,0,151,10,1,Low
211500,RaceRoom Racing Experience,0.0,5204,3571,,81,0,209,19,6,Low
211580,Wanderlust: Rebirth,3.99,249,229,,152,0,340,9,5,Medium
211600,Thief™ Gold,4.99,1649,148,,230,0,250,20,2,Medium
211740,Thief™ II: The Metal Age,4.99,845,51,,1584,0,333,18,2,High
211800,Dead Hungry Diner,3.99,91,28,,239,0,301,7,0,Medium
211820,Starbound,11.99,74162,7816,,3556,1,216,20,7,High
211970,Test Drive: Ferrari Racing Legends,14.99,144,108,,1350,0,336,2,0,High
212010,Galaxy on Fire 2™ Full HD,5.59,1046,382,,361,0,159,14,5,High
212030,Kung Fu Strike - The Warrior's Rise,6.99,803,211,,98,0,225,9,2,Low
212050,Resonance,6.99,353,30,,219,0,275,11,0,Medium
212070,Star Conflict,0.0,8647,2796,,4623,0,207,20,9,High
212110,Sugar Cube: Bittersweet Factory,4.99,145,48,,268,0,74,9,1,Medium
212160,Vindictus,0.0,3646,1460,,408,0,188,20,7,High
212390,Continent of the Ninth Seal,0.0,892,334,,48,0,98,11,6,Low
212500,The Lord of the Rings Online™,0.0,6860,1644,,892,0,133,20,9,High
212630,Tom Clancy's Ghost Recon: Future Soldier™,12.49,2178,1153,,229,0,118,19,7,Medium
212680,FTL: Faster Than Light,6.99,42641,1629,,1111,0,179,20,4,High
212700,Party of Sin,4.79,98,89,,290,0,93,7,2,Medium
212800,Super Crate Box,0.0,5951,702,,34,0,284,20,5,Low
213330,LEGO® Batman™ 2: DC Super Heroes,14.99,969,129,,988,0,255,16,4,High
213610,Sonic Adventure 2,5.99,4676,913,,805,0,137,20,2,High
213650,Dwarfs - F2P,0.0,1327,225,,30,0,182,11,3,Low
213670,South Park™: The Stick of Truth™,25.99,35896,911,,1045,0,314,20,3,High
213850,Magic 2014 — Duels of the Planeswalkers,6.99,3615,773,,1149,0,300,11,3,High
214150,Galactic Civilizations® I: Ultimate Edition,6.99,93,91,,22,0,104,7,1,Low
214170,Divine Divinity,4.79,1432,193,,39,0,159,20,3,Low
214250,I Am Alive,12.49,1361,701,,408,0,105,17,5,High
214340,Deponia,6.99,7208,840,,217,0,122,19,0,Medium
214360,Tower Wars,5.59,1176,433,,239,1,183,10,5,Medium
214420,Gear Up,0.0,6383,2225,,139,1,239,20,8,Medium
214490,Alien: Isolation,29.99,24534,1958,,563,0,130,20,4,High
214550,Eets Munchies,4.99,471,122,,128,0,272,11,1,Low
214570,ETHER VAPOR Remaster,5.59,188,55,,71,0,96,9,2,Low
214590,Fairy Bloom Freesia,5.59,882,139,,159,0,119,14,2,Medium
214610,Cherry Tree High Comedy Club,5.59,457,79,,222,0,137,12,1,Medium
214770,Guacamelee! Gold Edition,9.99,4881,338,,245,0,238,20,2,Medium
214790,The Basement Collection,2.99,812,153,,315,0,124,12,1,High
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,6.99,1147,172,,254,0,59,20,3,Medium
214870,Painkiller Hell & Damnation,17.99,2240,679,,189,0,156,20,6,Medium
214950,Total War™: ROME II - Emperor Edition,29.99,31864,13423,,5760,0,340,20,5,High
214970,Intrusion 2,6.49,983,194,,85,0,144,12,2,Low
215080,WAKFU,0.0,4413,1335,,2258,0,238,20,7,High
215160,The Book of Unwritten Tales,17.99,1386,134,,62,0,121,10,0,Low
215280,Secret World Legends,0.0,4420,2106,,645,0,193,20,5,High
215470,Primal Carnage,5.59,4447,1323,,423,0,226,20,9,High
215510,Rocketbirds: Hardboiled Chicken,3.99,2175,571,,92,0,115,16,5,Low
215530,The Incredible Adventures of Van Helsing,10.99,4993,1064,,572,1,197,20,4,High
215550,Zombie Playground™,6.99,155,168,,5,0,230,11,2,Low
215630,Demonicon,6.99,492,235,,654,0,332,8,2,High
215670,Home,1.99,1069,518,,21,0,155,20,0,Low
215690,Zeno Clash 2,10.99,764,256,,156,0,290,13,5,Medium
215770,Shad'O,3.99,50,42,,58,0,103,5,2,Low
215790,Dream Pinball 3D,4.99,164,379,,273,0,326,3,0,Medium
215830,Closers,0.0,2061,734,,194,0,290,20,5,Medium
215870,Dungeon-Party,0.0,154,231,,1,0,265,6,3,Low
215930,Jagged Alliance 2 - Wildfire,4.99,454,180,,526,0,291,10,2,High
216090,Go Home Dinosaurs!,6.99,336,20,,458,0,281,9,1,High
216110,Tiny Troopers,3.99,719,183,,35,0,126,7,4,Low
216150,MapleStory,0.0,3629,1711,,71,0,177,20,6,Low
216290,Gateways,3.99,171,12,,9,0,307,10,0,Low
216890,Blood Bowl: Chaos Edition,11.99,1108,277,,342,0,113,15,4,High
216910,Of Orcs And Men,10.99,856,333,,143,0,176,13,3,Medium
217140,Rise of the Triad,10.99,1436,673,,280,0,188,18,4,Medium
217200,Worms Armageddon,10.99,3517,231,,246,0,196,17,4,Medium
217690,Anna - Extended Edition,7.99,878,489,,269,0,122,10,0,Medium
217750,Age of Conan: Unchained,0.0,874,397,,148,0,272,15,5,Medium
217920,Alien Rage - Unlimited,14.99,1657,722,,317,0,318,8,4,High
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,10.99,2615,221,,57,0,338,20,1,Low
218090,Unity of Command: Stalingrad Campaign,14.99,504,116,,8368,0,147,11,1,High
218230,PlanetSide 2,0.0,35968,7753,,1051,0,253,20,10,High
218410,Defender's Quest: Valley of the Forgotten (DX edition),10.99,2688,102,,899,0,121,20,2,High
218510,Planets Under Attack,6.99,492,191,,299,1,234,5,2,High
218620,PAYDAY 2,7.49,308657,56523,,3975,0,219,20,7,High
218640,Lucius,6.99,5775,1400,,172,0,125,20,1,Medium
218680,Scribblenauts Unlimited,14.99,6661,588,,630,0,102,20,5,High
218740,Pid,6.99,2021,370,,61,0,109,14,1,Low
218820,Mercenary Kings: Reloaded Edition,14.99,1511,637,,348,1,102,20,5,High
219150,Hotline Miami,6.99,45809,1211,,380,0,127,20,2,High
219190,Ultratron,7.19,545,60,,84,0,293,15,2,Low
219200,Droid Assault,7.19,275,55,,8,0,306,12,2,Low
219340,The Banner Saga: Factions,0.0,569,202,,95245,1,322,10,3,High
219640,Chivalry: Medieval Warfare,18.99,51499,10939,,675,0,143,20,6,High
219680,Proteus,6.99,1847,659,,36,0,263,20,2,Low
219700,Dogs of War Online,0.0,447,250,,29,0,241,13,4,Low
219760,Beyond Divinity,4.79,150,131,,13,0,70,11,2,Low
219780,Divinity II: Developer's Cut,14.99,2001,441,,2511,0,95,20,3,High
219830,King Arthur's Gold,0.0,3127,643,,384,1,166,20,6,High
219890,Antichamber,14.99,12232,612,,176,0,272,20,0,Medium
219910,Edna & Harvey: Harvey's New Eyes,15.99,1674,162,,170,0,148,13,0,Medium
219950,NiGHTS Into Dreams,5.59,553,79,,9,0,230,16,1,Low
219990,Grim Dawn,19.99,26805,2605,,3651,0,259,20,4,High
220090,The Journey Down: Chapter One,5.99,902,129,,303,0,199,20,0,High
220160,Trials Evolution: Gold Edition,16.99,1382,423,,501,0,232,11,2,High
220200,Kerbal Space Program,29.99,49328,5168,,9223,0,251,20,3,High
220240,Far Cry 3,16.99,46331,5622,,836,0,161,20,10,High
220260,Farming Simulator 2013 Titanium Edition,11.39,3962,381,,705,0,109,20,5,High
220440,DmC: Devil May Cry,23.99,14820,956,,533,0,134,20,1,High
220460,Cargo Commander,2.09,641,140,,663,0,140,12,2,High
220700,RPG Maker VX Ace,52.99,3372,210,,405,0,222,19,3,High
220740,Chaos on Deponia,15.99,1433,121,,227,0,238,16,0,Medium
220780,Thomas Was Alone,5.99,7456,438,,72,0,135,20,0,Low
220820,Zombie Driver HD,6.99,2050,381,,338,0,154,16,5,High
220860,McPixel,2.99,3000,581,,136,0,162,20,1,Medium
220900,Jack Lumber,3.99,218,125,,140,0,239,7,2,Medium
221020,Towns,9.99,632,1878,,2365,0,299,18,5,High
221040,Resident Evil 6 / Biohazard 6,19.99,14643,3904,,1602,0,107,20,6,High
221100,DayZ,33.99,118435,77169,,7235,0,315,20,9,High
221260,Little Inferno,6.99,6403,459,,177,0,167,20,1,Medium
221380,Age of Empires II HD,14.99,54090,3178,,1569,0,168,20,5,High
221540,DG2: Defense Grid 2,10.99,1579,354,,3601,0,300,12,3,High
221640,Super Hexagon,1.99,19797,616,,140,0,80,20,1,Medium
221680,Rocksmith® 2014 Edition - Remastered,25.99,8228,789,,6704,0,282,8,0,High
221810,The Cave,9.99,1702,266,,217,0,121,20,1,Medium
221910,The Stanley Parable,9.99,31538,2846,,170,0,262,20,0,Medium
222140,Puddle,5.59,322,119,,186,0,76,8,1,Medium
222480,Resident Evil Revelations / Biohazard Revelations,23.99,4962,975,,683,0,151,20,7,High
222520,Champions of Regnum,0.0,514,322,,43,1,189,9,5,Low
222640,Aarklash: Legacy,12.39,478,145,,144,0,263,9,2,Medium
222730,Reus,6.99,3569,917,,1293,0,300,17,3,High
222750,Wargame: Airland Battle,14.99,3279,415,,1069,1,225,20,4,High
222880,Insurgency,6.99,92355,9570,,712,1,216,20,9,High
222940,THE KING OF FIGHTERS XIII STEAM EDITION,14.99,4300,537,,451,0,340,15,3,High
222980,Dead Pixels,1.99,2005,309,,117,0,320,19,7,Low
223100,Homefront®: The Revolution,24.99,6396,5102,,408,0,164,20,8,High
223220,Giana Sisters: Twisted Dreams,10.99,1229,326,,177,0,90,18,2,Medium
223410,Perpetuum,3.99,455,194,,269,0,295,12,7,Medium
223470,POSTAL 2,6.99,36263,1872,,257,0,224,20,6,Medium
223510,Miasmata,11.99,739,218,,171,0,272,13,3,Medium
223710,Cry of Fear,0.0,20990,3497,,3830,0,306,20,7,High
223730,Fly'N,7.49,378,60,,76,0,293,11,1,Low
223750,DCS World Steam Edition,0.0,5083,1534,,2343,0,312,20,8,High
223810,Ys I & II Chronicles+,9.99,1083,135,,124,0,288,20,2,Low
223830,Xenonauts,18.99,2497,337,,880,0,275,18,2,High
224260,No More Room in Hell,0.0,48190,5747,,2661,1,335,20,8,High
224300,Legacy of Kain: Defiance,4.99,429,61,,522,0,338,12,1,High
224460,Contrast,8.49,4028,415,,91,0,311,18,0,Low
224480,Octodad: Dadliest Catch,11.99,6742,536,,174,0,339,20,2,Medium
224500,Gnomoria,10.99,2509,698,,261,0,215,20,3,Medium
224600,Defiance,0.0,9150,2808,,953,0,130,20,10,High
224740,Clockwork Empires,22.99,348,426,,470,0,301,12,3,High
224760,FEZ,6.99,10641,928,,144,0,292,20,0,Medium
224820,Super House of Dead Ninjas,4.99,1306,56,,564,0,299,20,2,High
224860,Arma Tactics,5.99,239,514,,76,0,319,10,4,Low
224900,Iron Sky: Invasion,14.99,385,274,,414,0,326,6,2,High
224920,Legacy of Kain: Soul Reaver,4.99,798,302,,77,0,247,17,1,Low
224940,Legacy of Kain: Soul Reaver 2,4.99,288,107,,50,0,217,15,1,Low
224960,Tomb Raider I,4.99,1700,374,,25,0,290,20,2,Low
224980,Tomb Raider IV: The Last Revelation,4.99,422,64,,20,0,303,10,1,Low
225000,Tomb Raider V: Chronicles,4.99,232,77,,10,0,333,11,2,Low
225020,Tomb Raider VI: The Angel of Darkness,4.99,349,262,,1995,0,259,9,1,High
225080,Brothers - A Tale of Two Sons,10.99,31689,1708,,128,0,242,20,2,Low
225160,Shadow Warrior Classic Redux,6.99,1789,151,,124,0,329,20,3,Low
225260,Brutal Legend,10.99,12816,905,,461,0,326,20,5,High
225280,Full Mojo Rampage,10.99,971,167,,319,0,267,14,6,High
225300,Tomb Raider II,4.99,805,115,,3,0,286,17,2,Low
225320,Tomb Raider III,4.99,468,97,,34,0,330,13,2,Low
225360,DARK,6.99,476,500,,75,0,235,7,2,Low
225420,Cities in Motion 2,14.99,1130,873,,157,1,311,11,4,Medium
225540,Just Cause™ 3,11.99,37747,14024,,2086,0,150,20,7,High
225600,Blade Symphony,0.0,3129,1537,,413,1,166,20,5,High
225640,Sacred 2 Gold,10.99,1177,495,,69,0,296,16,6,Low
225840,Sven Co-op,0.0,12211,1173,,407,0,190,20,6,High
226580,F1 2014,19.99,1113,317,,1508,0,197,9,2,High
226720,LOST PLANET® 3,19.99,1597,1002,,155,0,217,17,6,Medium
226740,Monster Loves You!,6.99,827,247,,180,0,228,18,1,Medium
226820,Nancy Drew®: Ghost of Thornton Hall,15.49,58,4,,1642,0,34,7,0,High
226840,Age of Wonders III,22.99,4479,1132,,984,1,277,20,5,High
226860,Galactic Civilizations III,23.79,6051,1891,,199,0,246,20,4,Medium
226960,Ironclad Tactics,10.99,381,170,,142,0,133,9,1,Medium
227000,Primordia,6.99,1863,49,,234,0,279,20,0,Medium
227080,Papo & Yo,10.99,2405,160,,158,0,214,15,0,Medium
227100,Sniper Elite: Nazi Zombie Army,10.99,3204,446,,365,0,252,20,8,High
227160,Kinetic Void,14.99,298,1138,,33,0,268,12,3,Low
227200,Waking Mars,6.99,919,113,,229,0,293,15,1,Medium
227220,Sang-Froid - Tales of Werewolves,0.0,1480,209,,203,0,328,12,3,Medium
227300,Euro Truck Simulator 2,14.99,176769,5825,,4942,0,288,20,4,High
227560,Scourge: Outbreak,5.59,321,166,,289,1,277,9,4,Medium
227580,"10,000,000",3.99,1573,187,,333,0,44,20,4,High
227600,Castle of Illusion,9.99,1329,151,,147,0,106,12,0,Medium
227780,Serious Sam Classics: Revolution,7.99,1339,165,,27,0,334,16,5,Low
227800,Retrovirus,7.19,120,44,,105,0,276,8,3,Low
227860,Castle Story,18.99,2711,2361,,272,1,301,20,6,Medium
227920,Risk,6.99,78,113,,16,0,259,4,2,Low
227940,Heroes & Generals,0.0,65856,34416,,1752,0,241,20,7,High
228200,Company of Heroes,0.0,2526,287,,1475,0,281,8,3,High
228260,Fallen Enchantress: Legendary Heroes,19.49,1265,495,,1610,0,302,20,4,High
228280,Baldur's Gate: Enhanced Edition,14.99,4148,688,,569,1,204,20,5,High
228300,Remember Me,22.99,9080,1815,,276,0,201,20,1,Medium
228360,Full Throttle Remastered,10.99,1162,91,,15,0,272,7,0,Low
228380,Wreckfest,38.99,8834,2486,,778,0,276,20,5,High
228440,Cubemen 2,5.59,148,65,,440,1,214,5,2,High
228760,TrackMania² Canyon,16.99,1065,259,,3793,0,233,13,2,High
228960,Skulls of the Shogun,7.19,498,56,,329,0,241,14,2,High
229520,Dungeon Hearts,1.99,319,178,,200,0,303,11,3,Medium
229580,Dream,5.99,549,382,,58,0,188,19,1,Low
229810,A Fistful of Gun,9.99,284,136,,267,0,293,12,3,Medium
229870,ShootMania Storm,16.99,648,101,,507,0,342,10,6,High
230050,DLC Quest,1.99,5434,718,,126,0,274,20,1,Low
230070,The Age of Decadence,11.39,1719,373,,297,0,277,20,2,High
230190,War for the Overworld,22.99,3948,753,,471,1,226,20,3,High
230270,N++ (NPLUSPLUS),10.99,1600,83,,494,0,160,20,3,High
230290,Universe Sandbox ²,19.49,5918,377,,120,0,298,19,2,Low
230410,Warframe,0.0,226541,20268,,5845,0,103,20,7,High
230700,La-Mulana,10.99,1447,333,,583,0,336,20,2,High
230820,The Night of the Rabbit,16.99,1700,179,,96,0,258,11,0,Low
230840,Daylight,6.99,760,767,,184,0,269,18,3,Medium
230980,Starseed Pilgrim,4.49,256,192,,62,0,264,11,0,Low
231020,Storm,6.99,63,27,,217,0,232,3,0,Medium
231040,Beatbuddy: Tale of the Guardians,6.99,814,236,,99,0,307,13,1,Low
231140,Cities XL Platinum,7.49,771,584,,19,0,339,8,2,Low
231160,The Swapper,11.99,5699,242,,129,0,151,20,1,Low
231310,MirrorMoon EP,10.99,278,178,,252,1,274,17,1,Medium
231430,Company of Heroes 2,14.99,32548,12038,,1846,0,290,20,5,High
231720,Bad Hotel,3.99,123,237,,339,0,322,4,1,High
231740,Knights of Pen and Paper +1 Edition,7.99,2268,417,,709,0,283,15,1,High
232010,Euro Truck Simulator,3.99,3772,973,,315,0,314,20,6,High
232050,Eador. Masters of the Broken World,14.99,1365,679,,272,0,281,14,3,Medium
232090,Killing Floor 2,19.99,60917,8354,,2967,0,111,20,7,High
232430,Gone Home,10.99,11893,3651,,90,0,291,20,0,Low
232750,Mars: War Logs,11.99,1403,525,,346,0,296,14,3,High
232770,POSTAL,1.49,2319,502,,137,0,197,19,2,Medium
232790,Broken Age,11.39,5312,1063,,271,0,277,20,0,Medium
232890,Stronghold Crusader 2,24.99,4280,2786,,259,0,279,20,7,Medium
232910,TrackMania² Stadium,8.59,2915,571,,6516,0,272,15,4,High
232950,Bridge Project,15.99,333,338,,2,0,219,5,0,Low
233130,Shadow Warrior,29.99,18716,1426,,319,0,183,20,3,High
233150,LUFTRAUSERS,6.99,3180,302,,260,0,325,18,3,Medium
233190,Final Exam,6.99,761,143,,196,0,255,11,4,Medium
233270,Far Cry 3 - Blood Dragon,12.49,9282,1257,,249,0,234,20,4,Medium
233290,Murdered: Soul Suspect,19.99,8658,1647,,282,0,202,20,3,Medium
233310,Avadon 2: The Corruption,6.99,111,22,,4,0,277,13,2,Low
233350,Sudeki,4.99,413,70,,217,0,342,12,3,Medium
233450,Prison Architect,23.79,31687,2286,,1472,0,43,20,3,High
233470,Evoland,6.99,4437,906,,237,0,342,20,2,Medium
233510,Lunnye Devitsy,0.0,103,52,,82,0,59,6,0,Low
233550,Another World – 20th Anniversary Edition,6.99,1167,234,,102,0,255,18,1,Low
233610,Distance,19.49,3989,279,,887,1,174,20,3,High
233720,Surgeon Simulator,6.99,11387,2462,,266,0,299,20,1,Medium
233740,Organ Trail: Director's Cut,3.99,2182,284,,203,0,263,20,5,Medium
233840,Worms Clan Wars,18.99,1730,556,,533,0,173,10,3,High
233860,Kenshi,22.99,9512,1171,,1756,0,259,20,5,High
233980,UnEpic,9.99,5899,449,,392,0,242,20,5,High
234080,Castlevania: Lords of Shadow – Ultimate Edition,19.99,3827,953,,706,0,228,20,2,High
234140,Mad Max,15.99,36222,3811,,1030,0,119,20,7,High
234160,Strike Suit Infinity,4.99,459,82,,168,0,295,13,2,Medium
234190,Receiver,3.99,2627,695,,77,0,312,20,4,Low
234270,Ken Follett's The Pillars of the Earth,26.99,1320,99,,101,0,277,15,0,Low
234290,Zack Zero,1.99,244,136,,66,0,305,6,1,Low
234350,Luxor 2 HD,6.99,67,16,,10,0,340,2,0,Low
234390,Teleglitch: Die More Edition,8.99,2158,361,,117,0,291,20,4,Low
234490,Rush Bros.,7.19,553,341,,63,1,228,10,2,Low
234630,Project CARS,23.39,8618,2720,,232,0,44,20,4,Medium
234650,Shadowrun Returns,10.99,8676,1132,,278,0,272,20,2,Medium
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,14.99,8209,882,,1360,0,140,20,6,High
234900,Anodyne,6.99,856,154,,128,0,233,18,2,Low
234920,Dyscourse,10.99,327,92,,258,0,150,9,1,Medium
234940,The 39 Steps,3.99,982,317,,218,0,235,11,0,Medium
235070,Bad Bots,3.99,139,106,,83,0,204,7,2,Low
235210,STRIDER™ / ストライダー飛竜®,11.99,2127,401,,324,0,225,20,1,High
235250,Super Sanctum TD,3.99,1271,169,,121,0,211,10,1,Low
235320,Original War,3.99,923,66,,232,0,239,15,3,Medium
235340,Prime World,0.0,1954,1378,,28,0,263,20,9,Low
235360,Prime World: Defenders,6.99,673,213,,739,0,259,20,4,High
235380,Blitzkrieg 3,7.19,2714,1890,,221,0,212,20,4,Medium
235400,King’s Bounty: Legions,0.0,617,577,,19,1,282,9,2,Low
235460,METAL GEAR RISING: REVENGEANCE,19.99,13722,1157,,863,0,341,20,1,High
235540,Warhammer: End Times - Vermintide,22.99,13905,3560,,1200,0,118,20,7,High
235600,Tom Clancy’s Splinter Cell Blacklist,16.99,10016,1982,,669,0,286,20,8,High
235620,Small World 2,6.99,520,174,,1364,1,342,8,2,High
235720,Cubetractor,3.99,327,103,,36,0,336,6,2,Low
235800,Audiosurf 2,10.99,3785,882,,507,0,167,20,2,High
235980,Tetrobot and Co.,6.99,371,9,,1107,0,287,5,0,High
236090,Dust: An Elysian Tail,11.99,15064,625,,370,0,214,20,2,High
236110,Dungeon Defenders II,0.0,10766,3802,,523,0,127,20,7,High
236130,Horizon,22.99,243,177,,84,0,242,14,2,Low
236150,Starpoint Gemini 2,26.99,2604,1126,,326,0,308,18,6,High
236370,Interstellar Marines,6.95,4556,2946,,112,1,260,19,7,Low
236390,War Thunder,0.0,83852,22166,,4200,1,221,20,7,High
236430,DARK SOULS™ II,29.99,30008,3799,,2377,0,266,20,6,High
236450,PAC-MAN™ Championship Edition DX+,7.99,5988,291,,67,0,259,20,3,Low
236490,Hexodius,7.99,18,12,,9,0,291,3,1,Low
236510,Takedown: Red Sabre,3.99,2136,3378,,80,0,232,20,7,Low
236690,Blood Bowl 2,14.99,2734,1085,,1433,0,181,19,4,High
236730,Anomaly 2,11.49,511,121,,87,1,277,9,3,Low
236790,Agricultural Simulator 2013 - Steam Edition,6.99,145,486,,5,0,217,3,0,Low
236850,Europa Universalis IV,34.99,40346,8254,,8138,1,246,20,5,High
237310,Elsword,0.0,4755,1511,,796,0,130,20,7,High
237470,Battle Worlds: Kronos,14.99,159,76,,34,1,265,10,2,Low
237550,Realms of Arkania: Blade of Destiny,10.99,168,139,,1,0,281,7,1,Low
237570,Penny Arcade's On the Rain-Slick Precipice of Darkness 4,1.69,253,57,,315,0,281,8,1,High
237630,DuckTales: Remastered,11.99,3198,523,,240,0,273,17,1,Medium
237740,Angry Video Game Nerd Adventures,3.99,2416,298,,157,0,286,18,1,Medium
237760,Intake,6.99,349,26,,75,0,251,10,2,Low
237850,Dreamfall Chapters,18.99,2829,562,,335,0,216,20,1,High
237870,Planet Explorers,7.19,3847,1729,,545,1,262,20,7,High
237890,Agarest: Generations of War,10.99,1199,447,,272,0,245,19,2,Medium
237930,Transistor,15.49,22158,1162,,353,0,90,20,3,High
237950,UFO: Afterlight,4.99,210,140,,2380,0,304,11,2,High
237990,The Banner Saga,18.74,9750,1131,,164,0,296,20,2,Medium
238010,Deus Ex: Human Revolution - Director's Cut,12.99,13044,1233,,947,0,340,20,5,High
238050,The Apogee Throwback Pack,6.99,198,20,,37,0,325,8,3,Low
238090,Sniper Elite 3,22.99,12737,3297,,321,0,193,20,8,High
238210,System Shock 2,6.99,4227,274,,256,0,263,20,6,Medium
238260,Pinball Arcade,0.0,2175,812,,6,0,267,9,1,Low
238320,Outlast,15.49,45966,1953,,751,0,310,20,3,High
238370,Magicka 2,10.99,4873,1382,,198,0,295,20,7,Medium
238430,Contagion,6.99,9087,3585,,366,0,299,20,10,High
238460,BattleBlock Theater®,10.99,47342,1290,,774,0,256,20,4,High
238750,Might & Magic X - Legacy,20.99,1571,780,,274,0,341,18,2,Medium
238890,Skyward Collapse,3.99,126,164,,68,1,288,20,1,Low
238910,Bionic Dues,6.99,672,226,,249,0,254,20,3,Medium
238930,7 Grand Steps: What Ancients Begat,14.99,356,299,,178,0,271,8,1,Medium
238960,Path of Exile,0.0,71593,6117,,5263,0,270,20,6,High
239030,"Papers, Please",6.99,25587,1103,,674,0,266,20,1,High
